adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/lTyikzfGgRX5ZqIfVeT26APYfRL.jpg,"[35, 10752, 18]",515001,en,Jojo Rabbit,"Jojo, a lonely German boy during World War II has his world shaken when he learns that his single mother is hiding a Jewish girl in their home. Influenced by a buffoonish imaginary version of Adolf Hitler, he begins to question his beliefs and confront the conflict between propaganda and his own humanity.",7.5982,/1mqL7VG4Ix8wmxwypmCA1HTHBky.jpg,2019-10-18,Jojo Rabbit,False,7.996,10011
False,/9sfVyE3sP2dkCwDyV7UlYP5TAAR.jpg,"[35, 18]",823754,en,Bo Burnham: Inside,"Stuck in COVID-19 lockdown, US comedian and musician Bo Burnham attempts to stay sane and happy by writing, shooting and performing a one-man comedy special.",2.3115,/ku1UvTWYvhFQbSesOD6zteY7bXT.jpg,2021-07-22,Bo Burnham: Inside,False,7.995,557
False,/5YyWhr5cgVeYYHbsWjyQ0OGKkmu.jpg,"[18, 36]",780,fr,La Passion de Jeanne d'Arc,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.",3.8202,/8OYGtQlO8k9PcOm49apV62eVJQo.jpg,1928-04-21,The Passion of Joan of Arc,False,7.99,1033
False,/xW54kLO7ZB683CwMbGSN3ELSS1K.jpg,"[16, 18, 9648, 36]",339877,en,Loving Vincent,A young man arrives at the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.,6.9264,/56sq57kDm7XgyXBYrgJLumo0Jac.jpg,2017-06-22,Loving Vincent,False,7.991,2541
False,/48v92pR5a1JeczlrCwnr1eQBN2j.jpg,"[16, 10751, 10749]",140420,en,Paperman,An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.,2.5161,/9tvF744hwTm2Bn9hkDjMfEsysKz.jpg,2012-11-02,Paperman,False,7.994,1754
False,/5Ls2O8NnH8PR21Yqh0u7PU8GPtk.jpg,[18],19426,it,Le notti di Cabiria,"Rome, 1957. A woman, Cabiria, is robbed and left to drown by her boyfriend, Giorgio. Rescued, she resumes her life and tries her best to find happiness in a cynical world. Even when she thinks her struggles are over and she has found happiness and contentment, things may not be what they seem.",3.5029,/xF4oCG3PLNbcrtPZbqB3BtkIbKg.jpg,1957-10-03,Nights of Cabiria,False,7.988,817
False,/6wiz1IqKpmMteGIX77hUFvjsd5L.jpg,[18],526702,en,Black Beauty,"Born free in the American West, Black Beauty is a horse rounded up and brought to Birtwick Stables, where she meets spirited teenager Jo Green. The two forge a bond that carries Beauty through the different chapters, challenges and adventures.",3.9073,/5ZjMNJJabwBEnGVQoR2yoMEL9um.jpg,2020-11-27,Black Beauty,False,7.999,347
False,/iZGiMD0p1M2AOmzKknFo5bkuz94.jpg,"[80, 18]",524,en,Casino,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",8.9984,/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,1995-11-22,Casino,False,7.992,6216
False,/zP6pqpSRRiOCjjC5oWKZKkHqoSB.jpg,[18],595,en,To Kill a Mockingbird,"Scout Finch, 6, and her older brother Jem live in sleepy Maycomb, Alabama, spending much of their time with their friend Dill and spying on their reclusive and mysterious neighbor, Boo Radley. When Atticus, their widowed father and a respected lawyer, defends a black man named Tom Robinson against fabricated rape charges, the trial and tangent events expose the children to evils of racism and stereotyping.",6.7498,/gZycFUMLx2110dzK3nBNai7gfpM.jpg,1962-12-20,To Kill a Mockingbird,False,7.992,2743
False,/4datX8btikWEikf7esqEe6fhw.jpg,"[16, 10749, 35]",455661,en,In a Heartbeat,A closeted boy runs the risk of being outed by his own heart after it pops out of his chest to chase down the boy of his dreams.,1.9486,/wJUJROdLOtOzMixkjkx1aaZGSLl.jpg,2017-06-01,In a Heartbeat,False,7.984,1009
